"Device Local Timestamp","Plugin","Event","Description"
"","RootBinaries","root_binary_found","Root binary found: /system/xbin/su (binary: su)"
"2026-04-17 06:26:14.255000","DumpsysAppops","Access","com.android.shell access to VIBRATE: Access"
