"Device Local Timestamp","Plugin","Event","Description"
"","RootBinaries","root_binary_found","Root binary found: /system/xbin/su (binary: su)"
"2026-04-17 06:42:07.409000","DumpsysAppops","Access","com.android.shell access to VIBRATE: Access"
